PacketCounter	SampleTimeFine	Year	Month	Day	Second	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
00001						-0.078614	-0.114894	-0.065976	0.124726	-0.005321	0.019969	0.531756	-3.955621	95.461533	-0.174625	-0.089319	-0.012822
00002						0.098333	-0.098713	-0.034379	0.119459	0.010691	0.021189	0.670815	-3.954391	95.485023	-0.173083	-0.091268	-0.013612
00003						0.141332	-0.041827	-0.000149	0.060917	0.025450	0.018691	0.762468	-3.933020	95.508102	-0.169210	-0.092079	-0.013641
00004						-0.023967	0.027636	0.026326	0.044570	0.033859	0.015007	0.805701	-3.897394	95.530777	-0.167011	-0.091723	-0.013527
00005						-0.030452	0.098556	-0.010842	0.056715	0.026371	0.009358	0.857025	-3.859506	95.545464	-0.166716	-0.089918	-0.013594
00006						-0.027247	0.159249	0.079780	0.049924	0.014537	-0.003099	0.909523	-3.833462	95.546455	-0.165892	-0.086687	-0.013164
00007						-0.074078	0.252268	0.141378	0.054084	0.005119	-0.017858	0.961449	-3.822025	95.532295	-0.166077	-0.082484	-0.010869
00008						-0.019142	0.223144	0.199448	0.054152	-0.001884	-0.029751	1.017475	-3.821825	95.504967	-0.166379	-0.077225	-0.007275
00010						0.020103	0.307026	0.211364	0.028443	-0.007768	-0.031055	1.059893	-3.827696	95.471764	-0.164986	-0.071187	-0.003503
00011						0.096125	0.325924	0.185914	-0.007796	-0.010300	-0.031630	1.069976	-3.836730	95.440193	-0.162966	-0.062247	0.002323
00012						0.023037	0.360849	0.171124	-0.055011	-0.011255	-0.041523	1.028121	-3.849231	95.400597	-0.160780	-0.055182	0.005846
00013						0.069805	0.294050	0.143419	-0.084351	-0.015150	-0.050423	0.941706	-3.865407	95.350410	-0.159506	-0.048249	0.009142
00014						0.235523	0.171827	0.055330	-0.137512	-0.022364	-0.056539	0.809859	-3.888706	95.289177	-0.155571	-0.043221	0.010688
00015						0.235048	0.083292	0.012078	-0.188139	-0.031766	-0.057726	0.616286	-3.923795	95.225426	-0.150088	-0.040486	0.011086
00016						0.075241	-0.039258	-0.033611	-0.190009	-0.039719	-0.060829	0.386084	-3.966361	95.159592	-0.146401	-0.039874	0.010264
00017						-0.015531	-0.082216	-0.062114	-0.117014	-0.040105	-0.060231	0.206266	-4.011734	95.093620	-0.145207	-0.041039	0.008789
00018						0.031807	-0.075633	-0.053929	-0.043915	-0.038013	-0.064199	0.119665	-4.057173	95.024956	-0.144780	-0.042767	0.007751
00019						0.086406	-0.151092	-0.124370	-0.033052	-0.030097	-0.063328	0.074506	-4.096785	94.953506	-0.142042	-0.044928	0.006225
